MONTH,AVG_BALANCE,GROSS_BURN_RATE,NET_BURN_RATE,TARGET_BURN_RATE,GROSS_BURN_RATE_HEALTH_RATIO,NET_BURN_RATE_HEALTH_RATIO
2024-04-01 00:00:00.000,2795269.37382327,1503.023202037,-1502.992931921,232939.114485272,0.006452429449,0.0064522995
2024-03-01 00:00:00.000,3233439.19824837,387241.511256154,-387091.991009663,269453.266520698,1.437137936,1.436583034
2024-02-01 00:00:00.000,2790493.02069523,4131.307927164,-3894.57136623,232541.085057936,0.01776592694,0.01674788507
2024-01-01 00:00:00.000,2571340.5300472,20628.660527579,-20462.402817261,214278.377503934,0.0962703786,0.09549448272
2023-12-01 00:00:00.000,2517359.90002625,6027.32582036,-5751.366932611,209779.991668854,0.02873165249,0.02741618439
2023-11-01 00:00:00.000,2353125.73061215,70.517475246,161.540174524,196093.810884346,0.0003596109175,0.0008237902757
2023-10-01 00:00:00.000,2135105.62408467,12034.38738043,-11978.238971648,177925.468673723,0.06763723862,0.06732166598
2023-09-01 00:00:00.000,2097141.96876398,1614.209916419,26357.815017119,174761.830730332,0.009236627413,0.1508213487
2023-08-01 00:00:00.000,2189108.09154964,9024.909883629,-8919.674088574,182425.674295803,0.04947170906,0.04889483963
2023-07-01 00:00:00.000,2291504.50229735,1560.155526491,-1476.700631278,190958.708524779,0.008170119805,0.007733088701
2023-06-01 00:00:00.000,2251221.4431339,7293.964066056,-7280.775,187601.786927825,0.03888003513,0.03880973161
2023-05-01 00:00:00.000,2279430.48090392,9510.926441609,-9445.388214886,189952.540075327,0.05007001453,0.04972499031
2023-04-01 00:00:00.000,2334884.84153465,1651.023002683,-1461.784104148,194573.736794554,0.008485333272,0.007512751352
2023-03-01 00:00:00.000,2232643.3098008,83193,-65070.025374143,186053.609150067,0.4471453168,0.3497380442
2023-02-01 00:00:00.000,2241620.36083311,78509.119041915,-77166.900992789,186801.696736092,0.4202805457,0.4130952895
2023-01-01 00:00:00.000,2198519.38289232,48900,-45987.1480433,183209.94857436,0.2669069031,0.2510079196
2022-12-01 00:00:00.000,2116651.85422511,7060.092520382,-3250.044149014,176387.654518759,0.04002600148,0.01842557609
2022-11-01 00:00:00.000,2197398.70565499,507629.07,84744.963095896,183116.558804583,2.772163661,0.4627924621
2022-10-01 00:00:00.000,2164124.96048136,110698.498625,-109540.353447052,180343.74670678,0.6138194456,0.6073975696
2022-09-01 00:00:00.000,2734533.15344533,377805,-376606.842532396,227877.76278711,1.657928336,1.65267044
2022-08-01 00:00:00.000,3031755.56456934,203003.616621124,153937.04570543,252646.297047445,0.8035091707,0.609298642
2022-07-01 00:00:00.000,2688093.70724256,854404.142319214,-72460.609830892,224007.80893688,3.81417124,0.3234735886
2022-06-01 00:00:00.000,2897649.54558671,2633917.8103653,-2260907.401142,241470.795465559,10.907811047,9.363067682
2022-05-01 00:00:00.000,4778791.97768633,172743.964869664,127825.55876009,398232.664807194,0.4337764833,0.3209821043
2022-04-01 00:00:00.000,6780005.33219744,82033.706330848,97922.638313642,565000.444349787,0.1451922864,0.1733142678
2022-03-01 00:00:00.000,6383383.82475939,6405.870227097,51468.168201904,531948.652063283,0.01204227175,0.09675401564
2022-02-01 00:00:00.000,6355731.8531046,51967.486193663,15545.388662266,529644.32109205,0.09811770678,0.02935061898
2022-01-01 00:00:00.000,6203297.91776449,28963.007952795,1064759.19303825,516941.493147041,0.0560276324,2.059728629
2021-12-01 00:00:00.000,7547994.04149119,402076.747755902,-32757.456863137,628999.503457599,0.6392322181,0.05207866888
2021-11-01 00:00:00.000,5843356.45260643,44398.56482244,10727889.5808599,486946.371050536,0.0911775248,22.030946771
2021-10-01 00:00:00.000,256797.799468928,246875.046767155,-111994.173868431,21399.816622411,11.536315994,5.233417456
2021-09-01 00:00:00.000,283880.321807682,0,49792.032055939,23656.693483974,0,2.104775635
2021-08-01 00:00:00.000,90434.876926619,1074.114344076,405710.956763375,7536.239743885,0.1425265624,53.834666963
﻿
