DAY,INDEX_VALUE
2023-07-03 00:00:00.000,100
2023-07-04 00:00:00.000,99.718011006
2023-07-05 00:00:00.000,98.682807559
2023-07-06 00:00:00.000,97.396848273
2023-07-07 00:00:00.000,97.600895586
2023-07-08 00:00:00.000,97.356198433
2023-07-09 00:00:00.000,96.793261055
2023-07-10 00:00:00.000,96.424745313
2023-07-11 00:00:00.000,96.233096936
2023-07-12 00:00:00.000,95.80348914
2023-07-13 00:00:00.000,99.24231655
2023-07-14 00:00:00.000,98.130828315
2023-07-15 00:00:00.000,98.127836556
2023-07-16 00:00:00.000,98.106369758
2023-07-17 00:00:00.000,97.450545172
2023-07-18 00:00:00.000,97.095323041
2023-07-19 00:00:00.000,96.874300069
2023-07-20 00:00:00.000,96.916528726
2023-07-21 00:00:00.000,96.943607837
2023-07-22 00:00:00.000,96.57160621
2023-07-23 00:00:00.000,96.865942478
2023-07-24 00:00:00.000,95.799439116
2023-07-25 00:00:00.000,95.880235787
2023-07-26 00:00:00.000,96.364770891
2023-07-27 00:00:00.000,95.57453998
2023-07-28 00:00:00.000,95.10314048
2023-07-29 00:00:00.000,95.393187549
2023-07-30 00:00:00.000,95.060753838
2023-07-31 00:00:00.000,94.900568074
2023-08-01 00:00:00.000,95.160719341
2023-08-02 00:00:00.000,94.274863541
2023-08-03 00:00:00.000,94.271041885
2023-08-04 00:00:00.000,93.8709191
2023-08-05 00:00:00.000,94.247269204
2023-08-06 00:00:00.000,94.362127848
2023-08-07 00:00:00.000,93.995878201
2023-08-08 00:00:00.000,95.079524692
2023-08-09 00:00:00.000,95.033174741
2023-08-10 00:00:00.000,95.51563908
2023-08-11 00:00:00.000,95.806952658
2023-08-12 00:00:00.000,96.112898192
2023-08-13 00:00:00.000,95.910502582
2023-08-14 00:00:00.000,95.965279803
2023-08-15 00:00:00.000,95.229765184
2023-08-16 00:00:00.000,94.43536833
2023-08-17 00:00:00.000,90.790719966
2023-08-18 00:00:00.000,89.494203803
2023-08-19 00:00:00.000,89.743828847
2023-08-20 00:00:00.000,89.385785265
2023-08-21 00:00:00.000,88.887253942
2023-08-22 00:00:00.000,87.879155197
2023-08-23 00:00:00.000,89.30501374
2023-08-24 00:00:00.000,88.500253915
2023-08-25 00:00:00.000,88.434684006
2023-08-26 00:00:00.000,88.201429114
2023-08-27 00:00:00.000,88.646271516
2023-08-28 00:00:00.000,88.491637331
