DAY,DEFI_TREASURY_INDEX,NON_DEFI_TREASURY_INDEX,SIRLOIN_INDEX,SOL_NORMALIZED_PRICE,SOL_DAILY_RETURN,WBTC_NORMALIZED_PRICE,WBTC_DAILY_RETURN,WETH_NORMALIZED_PRICE,WETH_DAILY_RETURN
2024-02-21 00:00:00.000,233.052618925,130.049121119,133.488604388,1075.265455998,-0.04096660802,166.795566448,-0.00812732176,149.959586083,0.00008122539009
2024-02-20 00:00:00.000,239.058622705,133.343682908,134.503911177,1121.197098022,-0.03145431661,168.162275368,-0.005591296684,149.947406547,0.01006213443
2024-02-19 00:00:00.000,240.265713883,132.181768238,132.702885398,1157.608894713,0.01287991035,169.10780729,0.008062361822,148.453646004,0.03602115617
2024-02-18 00:00:00.000,236.252967773,129.291022466,130.691463043,1142.888592108,0.02117086845,167.755303337,0.003443800028,143.29209893,0.01155880731
2024-02-17 00:00:00.000,227.88986957,126.03977456,128.315368401,1119.194277288,-0.02494140025,167.179570328,-0.00807698752,141.654739096,-0.01304628538
2024-02-16 00:00:00.000,229.075903311,125.683523331,128.824278503,1147.822579668,-0.03452788513,168.540872855,-0.0004759748871,143.527236382,0.00340471444
2024-02-15 00:00:00.000,228.750728974,126.512116486,129.31754427,1188.871808916,0.008263167487,168.621132279,0.02382847111,143.040225262,0.03461917156
2024-02-14 00:00:00.000,228.444762163,124.815086966,128.083399837,1179.128472856,0.01594178748,164.696662613,0.02442648522,138.253986775,0.02299281223
2024-02-13 00:00:00.000,222.999518695,120.697338898,124.087182164,1160.626019509,0.0514419876,160.769625726,0.01920447888,135.146586685,0.04518878447
2024-02-12 00:00:00.000,224.221962211,121.109240444,124.473204493,1103.842183594,-0.01760660353,157.740305364,0.01279619949,129.303517885,0.007163707289
2024-02-11 00:00:00.000,219.33888865,116.057365438,120.168670694,1123.625410715,0.001831712383,155.747331442,0.01612759622,128.383813822,0.006788712997
2024-02-10 00:00:00.000,217.579343842,116.367863029,120.030853864,1121.571015198,0.03454181451,153.275368193,0.0140088798,127.518129836,0.008826102286
2024-02-09 00:00:00.000,205.311361629,116.156350225,119.771644821,1084.123424952,0.02903381091,151.157816511,0.04099130242,126.402488543,0.01855469621
2024-02-08 00:00:00.000,192.221878159,113.896200927,117.755568677,1053.535280825,0.05666818977,145.205647885,0.03625010004,124.099853462,0.01889354727
2024-02-07 00:00:00.000,193.372589567,113.5683273,117.825415066,997.035106215,0.009402970138,140.126064045,0.008438391863,121.798645005,0.02069911368
2024-02-06 00:00:00.000,181.215872627,111.805267637,116.334594092,987.747347404,-0.005194332983,138.953519795,0.004644954938,119.328647761,0.01561142796
2024-02-05 00:00:00.000,178.273277004,109.136816932,114.094321303,992.904825689,-0.01060399063,138.311071102,-0.003234552763,117.494392516,0.0009034962275
2024-02-04 00:00:00.000,176.300812796,108.665457643,113.860727838,1003.54642255,-0.01319003626,138.759897311,-0.004718796004,117.3883326,-0.004981205196
2024-02-03 00:00:00.000,177.40120177,109.11846175,113.980036009,1016.960163989,-0.01151749347,139.417781381,0.001301322672,117.975995241,0.002763622332
2024-02-02 00:00:00.000,180.051048957,109.381002173,114.255120745,1028.809470348,0.04336019736,139.23658965,0.01403026081,117.650852717,0.01308435376
2024-02-01 00:00:00.000,179.501423874,108.969899783,114.15852369,986.053975367,-0.04504095768,137.310093231,-0.01102032395,116.131349063,-0.01784360469
2024-01-31 00:00:00.000,181.760483664,108.578480965,113.571862677,1032.5615358,-0.03589587187,138.840156736,-0.01206702772,118.241198262,-0.006204819719
2024-01-30 00:00:00.000,190.322365512,114.310156911,115.32448251,1071.006238514,0.05925535487,140.536008647,0.02358478518,118.979444264,0.02459578661
2024-01-29 00:00:00.000,187.245950197,112.794933765,114.457104719,1011.09353244,0.04490015279,137.297867927,0.004250243806,116.123300348,0.0001094806181
2024-01-28 00:00:00.000,185.48098008,110.145803123,112.740378886,967.646075789,0.01758160304,136.716788245,0.01004710614,116.110588489,0.0024790722
2024-01-27 00:00:00.000,184.789967116,111.218660758,113.043567122,950.927250349,0.06318955907,135.35684367,0.02260403859,115.823453784,0.01310330197
2024-01-26 00:00:00.000,180.240337198,110.854763613,112.986127638,894.409884145,-0.008074433503,132.364863194,0.02377945699,114.32541337,0.0122796754
2024-01-25 00:00:00.000,175.930063652,108.99052232,111.65288683,901.690524324,0.01626130468,129.29040751,0.001022392468,112.938564458,-0.007717803836
2024-01-24 00:00:00.000,172.939605111,109.492984258,112.093736393,887.262478822,0.0407338136,129.158356979,0.01264990042,113.816981596,-0.01344590548
2024-01-23 00:00:00.000,168.532224212,109.736265525,112.249764674,852.535458371,-0.058999611,127.544926361,-0.03216347288,115.368211665,-0.05586314345
2024-01-22 00:00:00.000,177.769280573,112.657262483,114.342001631,905.988422895,-0.05141232006,131.783542764,-0.02287404249,122.19437348,-0.03277294311
2024-01-21 00:00:00.000,188.177656107,117.589758906,118.473757169,955.091914064,0.001794207145,134.86853128,0.001227768514,126.334734548,-0.0001013538446
2024-01-20 00:00:00.000,187.969863607,117.312057199,118.864568966,953.381350433,-0.009466610105,134.703146997,0.006424171466,126.347540357,0.0003707953001
2024-01-19 00:00:00.000,183.97176859,117.888203236,119.436475063,962.492895403,-0.04973161055,133.843314595,-0.02228261233,126.300708648,-0.01261943697
2024-01-18 00:00:00.000,187.58223526,117.127276078,118.780180043,1012.864266651,-0.0175016572,136.893663019,-0.01077485572,127.914922956,-0.018842942
2024-01-17 00:00:00.000,198.522729527,119.401058315,120.49106168,1030.90684485,0.03485572775,138.384738611,-0.005818934112,130.371505676,0.002693437606
2024-01-16 00:00:00.000,198.144940651,122.116336791,122.189373924,996.184122298,0.01393712981,139.194703418,0.007842296834,130.021301413,0.009567027622
2024-01-15 00:00:00.000,187.571942177,119.773497198,120.103326741,982.491017452,-0.02491895581,138.111591323,-0.003917535859,128.789171849,-0.00919046554
2024-01-14 00:00:00.000,183.950429539,118.359311614,119.258875379,1007.599340902,0.06289698822,138.654776382,-0.002210167277,129.98378333,-0.002510547168
2024-01-13 00:00:00.000,186.105730559,120.79311186,121.915968361,947.974594031,-0.05067960162,138.961905438,-0.04933227511,130.310935079,-0.02016556547
2024-01-12 00:00:00.000,185.223323886,119.979580914,120.069056501,998.5823497,-0.0415052619,146.172949601,-0.03211358838,132.992810302,-0.001925238336
2024-01-11 00:00:00.000,190.260483264,123.601447929,122.840770592,1041.82350722,0.03251267198,151.022834752,0.01865585648,133.249347053,0.08048064087
2024-01-10 00:00:00.000,185.502062171,120.603343769,122.07201225,1009.01764743,-0.01831486515,148.256973925,-0.01988119412,123.32414114,0.05158083915
2024-01-09 00:00:00.000,170.002024844,112.444560011,114.642496503,1027.842443169,0.07811668816,151.26428861,0.04061099611,117.274998315,0.02011607098
2024-01-08 00:00:00.000,175.25945463,111.283421638,114.482719713,953.368456737,-0.01858660402,145.361032293,0.01672975055,114.962406388,0.003746800665
2024-01-07 00:00:00.000,171.109918651,108.409951841,111.197626811,971.423928633,-0.05606645284,142.969193352,0.006714187038,114.533273045,-0.0001552246332
2024-01-06 00:00:00.000,173.02213182,109.139729345,111.819458147,1029.123216943,-0.004581168156,142.015673558,0.0006835881714,114.55105419,0.000177176242
2024-01-05 00:00:00.000,176.589775218,110.123628466,112.475737405,1033.859501168,-0.00957690344,141.918659641,0.006923473663,114.53076206,-0.001030945833
2024-01-04 00:00:00.000,178.667897536,110.72458563,112.597332458,1043.856413244,-0.019926235,140.942845561,-0.01009719499,114.648958926,-0.02043551918
2024-01-03 00:00:00.000,173.612461995,108.378124383,110.755857586,1065.079436385,-0.07117584444,142.380489123,-0.02969323346,117.040747364,-0.03640320099
2024-01-02 00:00:00.000,184.043064731,113.508263528,114.979847984,1146.696530242,0.06201214051,146.737603027,0.05822036607,121.462366297,0.03257342139
2024-01-01 00:00:00.000,184.564546546,113.204620938,114.78189021,1079.73956841,0.0169735095,138.664504797,0.00780807322,117.63073093,0.00375599138
2023-12-31 00:00:00.000,175.703984576,110.675207052,112.812611919,1061.718479703,-0.005643349944,137.590190515,0.007255408172,117.190564181,-0.001598714788
2023-12-30 00:00:00.000,179.366458424,111.618779231,113.161656648,1067.744133499,-0.02212513039,136.599108229,-0.007393225331,117.378218474,-0.01649313996
2023-12-29 00:00:00.000,178.251415507,111.743471005,113.261822561,1091.902621365,0.02933788197,137.616538306,-0.0127054198,119.346618965,-0.01915149296
2023-12-28 00:00:00.000,182.330602871,113.795278414,114.750736114,1060.781537815,-0.06451026024,139.387515201,0.003748951597,121.676913518,0.04251128586
2023-12-27 00:00:00.000,181.827185702,114.66916695,115.523702052,1133.931771487,0.1579538721,138.866909877,0.003326720603,116.715200275,0.0211177155
2023-12-26 00:00:00.000,174.39072311,109.421687085,111.132056496,979.254699828,0.01448404217,138.406470221,-0.01442466831,114.301415501,-0.01823210513
2023-12-25 00:00:00.000,180.835129121,110.968996911,112.544912549,965.273635778,0,140.432157513,-0.006659232897,116.424071411,-0.006214333993
2023-12-24 00:00:00.000,175.654904525,110.590789403,112.359697344,965.273635778,1.518578191e-16,141.373597222,-0.0017659478,117.152093649,0.0009889663337
2023-12-23 00:00:00.000,177.121855082,111.32982474,113.614025386,965.273635778,-1.518578191e-16,141.623697279,-0.002803278098,117.03634864,-0.002173547297
2023-12-22 00:00:00.000,178.280259829,112.078534469,113.906477619,965.273635778,0.06904791371,142.021823947,0.002559583979,117.2912868,0.03455865963
2023-12-21 00:00:00.000,173.513654635,109.198930909,111.272150678,902.928319112,0.1243444009,141.659235238,0.01367918691,113.373258933,0.005121633849
2023-12-20 00:00:00.000,172.436605656,107.475232455,110.095693842,803.070943722,0.04072630055,139.747601675,0.01133789065,112.795561368,-0.005049194097
2023-12-19 00:00:00.000,172.554107715,107.15523711,109.473494806,771.644709373,0.05987709346,138.180921497,0.03211569806,113.367978295,0.02260275262
2023-12-18 00:00:00.000,177.155891337,109.237404483,110.592266498,728.051124171,-0.03343661024,133.881232266,-0.01390488114,110.862187692,-0.0213765748
2023-12-17 00:00:00.000,177.55777993,109.007378399,110.217925216,753.236809795,-0.01902538958,135.769085259,-0.007507694374,113.283807476,-0.01088033619
2023-12-16 00:00:00.000,176.362482235,109.609249246,110.894525857,767.845367037,-0.02182411494,136.796108634,-0.005757686162,114.529931637,-0.009804777058
2023-12-15 00:00:00.000,175.419203991,109.71523235,110.629818663,784.976790739,0.05580733924,137.588298879,-0.008898868443,115.663991285,-0.005783683643
2023-12-14 00:00:00.000,183.754742995,112.253340244,113.563548578,743.484877939,0.07018553232,138.823672477,0.03035299002,116.336846803,0.03787422596
2023-12-13 00:00:00.000,188.161614189,110.332716391,111.930921447,694.725218655,-0.03852605282,134.734089988,0.001177717938,112.091469172,-0.008151811426
2023-12-12 00:00:00.000,184.810549566,107.511365807,110.089323238,722.562707697,0.005346058627,134.575597892,-0.008176617324,113.012727616,-0.01027517448
2023-12-11 00:00:00.000,184.564752656,109.088849646,110.70771881,718.720386374,-0.04296816876,135.685042562,-0.04338834315,114.186008779,-0.04752995388
2023-12-10 00:00:00.000,196.509778,113.858797292,114.526899546,750.989008843,-0.02429027719,141.839210917,-0.0061001993,119.884094249,-0.004520311432
2023-12-09 00:00:00.000,198.043194687,114.057159839,114.139960479,769.684867625,0.08378116679,142.70976895,0.007933145144,120.428468432,-0.001184985823
2023-12-08 00:00:00.000,202.412838782,114.773021197,114.57482612,710.184759813,0.07117852975,141.586542359,0.00374434971,120.571343765,0.03483827508
2023-12-07 00:00:00.000,204.763611682,114.408515038,114.47091744,662.993833507,0.01066617747,141.05837049,-0.006546116865,116.512257682,0.005612768759
