DAY,COMPOSITION_ETH,COMPOSITION_USDC,COMPOSITION_WETH,COMPOSITION_DPI,COMPOSITION_PAXG,COMPOSITION_RETH,COMPOSITION_SOL,COMPOSITION_WBTC,COMPOSITION_WSTETH
2023-03-23,0.26860031485557556,0.0,0.186064675450325,0.13241058588027954,0.0,0.0,0.0,0.2616190016269684,0.1513053923845291
2023-03-24,0.27515585794921915,0.0,0.190605827975687,0.12796833839366756,0.0,0.0,0.0,0.25567822817827807,0.15059174750314808
2023-03-25,0.27187833435713693,0.0,0.18833542347608892,0.12888497189131984,0.0,0.0,0.0,0.2589712408772564,0.15193002939819783
2023-03-26,0.27527483041002565,0.0,0.19068824251909283,0.12524952502170109,0.0,0.0,0.0,0.2585611153207621,0.15022628672841837
2023-03-27,0.2758561926723652,0.0,0.19109096349400842,0.12371186691123517,0.0,0.0,0.0,0.2584653374479775,0.15087563947441363
2023-03-28,0.2713209498000603,0.0,0.18794931232514234,0.1257824391986396,0.0,0.0,0.0,0.2623929818561718,0.15255431681998602
2023-03-29,0.2784391452868777,0.0,0.19288022513423114,0.12350194943992618,0.0,0.0,0.0,0.2539686194413925,0.1512100606975725
2023-03-30,0.3637888729572296,0.0,0.0,0.636211097240448,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.3614258242535529,0.0,0.0,0.638574175746447,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.3672075576975928,0.0,0.0,0.6327924423024072,0.0,0.0,0.0,0.0,0.0
2023-04-02,0.3648586620258191,0.0,0.0,0.6351413379741809,0.0,0.0,0.0,0.0,0.0
2023-04-03,0.35999327745801485,0.0,0.0,0.6400067225419851,0.0,0.0,0.0,0.0,0.0
2023-04-04,0.3639481288206351,0.0,0.0,0.6360518711793649,0.0,0.0,0.0,0.0,0.0
2023-04-05,0.36547562502846925,0.0,0.0,0.6345243749715307,0.0,0.0,0.0,0.0,0.0
2023-04-06,0.48835495114326477,0.0,0.0,0.0,0.0,0.0,0.0,0.5116450786590576,0.0
2023-04-07,0.48753678191097877,0.0,0.0,0.0,0.0,0.0,0.0,0.5124632180890213,0.0
2023-04-08,0.4876286183811445,0.0,0.0,0.0,0.0,0.0,0.0,0.5123713816188555,0.0
2023-04-09,0.4862635586461377,0.0,0.0,0.0,0.0,0.0,0.0,0.5137364413538623,0.0
2023-04-10,0.48435802513999726,0.0,0.0,0.0,0.0,0.0,0.0,0.5156419748600027,0.0
2023-04-11,0.4838482872982951,0.0,0.0,0.0,0.0,0.0,0.0,0.5161517127017049,0.0
2023-04-12,0.47275591374321346,0.0,0.0,0.0,0.0,0.0,0.0,0.5272440862567865,0.0
2023-04-13,0.0,0.3087681531906128,0.0,0.0,0.0,0.19249887764453888,0.0,0.18996478617191315,0.3087681531906128
2023-04-14,0.0,0.30078783278447146,0.0,0.0,0.0,0.1966652992042375,0.0,0.1867918978075749,0.3157549702037162
2023-04-15,0.0,0.29158146845119903,0.0,0.0,0.0,0.20080974968228305,0.0,0.1850130866732388,0.32259569519327913
2023-04-16,0.0,0.2938992322152171,0.0,0.0,0.0,0.2010621467698243,0.0,0.18256083647226956,0.3224777845426891
2023-04-17,0.0,0.29216704493055684,0.0,0.0,0.0,0.20195572174886123,0.0,0.18154763948363697,0.3243295938369448
2023-04-18,0.0,0.2925207682216584,0.0,0.0,0.0,0.20205205132534992,0.0,0.18109286958749365,0.3243343108654981
2023-04-19,0.0,0.29327783568949906,0.0,0.0,0.0,0.20160705026238648,0.0,0.18121634991590882,0.3238987641322057
2023-04-20,0.1592729389667511,0.1592729389667511,0.0,0.1258183866739273,0.12665210664272308,0.1592729389667511,0.035477153956890106,0.0749606043100357,0.1592729389667511
2023-04-21,0.16461937941182872,0.16462919732180772,0.0,0.12214719244809306,0.13090754729610068,0.15456299111463714,0.034446566344482454,0.07427767642734469,0.15440944963570563
2023-04-22,0.1595213905720677,0.16780559634992123,0.0,0.12112927167197687,0.13284990882652983,0.15560078963613821,0.03383091479047743,0.07376466580321346,0.15549746234967526
2023-04-23,0.16450942201113897,0.17045055567560694,0.0,0.11919932384396897,0.13367176524221805,0.15244150516241894,0.034239368918229,0.07316080133170504,0.15232725781471418
2023-04-24,0.16350615880500108,0.17053661876133394,0.0,0.11929890261947462,0.1331725733002156,0.15221134103780776,0.03413401426526487,0.07365799178558795,0.15348239942531408
2023-04-25,0.16173225750100564,0.17111266604611106,0.0,0.11780049070407085,0.13461077817902212,0.15235228098783699,0.03381585512191877,0.07360835050571664,0.1549673209543179
2023-04-26,0.16413821011511762,0.17119584709926766,0.0,0.11706863126938483,0.1353797699282329,0.15214517016339443,0.03345037458099551,0.07432522573136705,0.15229677111223994
2023-04-27,0.12390151619911194,0.046158503741025925,0.0,0.17505832016468048,0.17505832016468048,0.17505832016468048,0.0,0.12970665097236633,0.17505832016468048
2023-04-28,0.1274897661225274,0.046495958028281825,0.0,0.17078965907365634,0.1760315691321197,0.1741296689855134,0.0,0.1306585634428944,0.17440481521500684
2023-04-29,0.12719913563912388,0.046768688620256495,0.0,0.17145506100790886,0.17601053502591194,0.17410379461507172,0.0,0.13019328250921608,0.17426950258251114
2023-04-30,0.128213256984245,0.046797820600225276,0.0,0.1709200863564771,0.17674755007283455,0.17355475787814084,0.0,0.12991339242347213,0.17385313568460511
2023-05-01,0.1261726849640096,0.046496729714433034,0.0,0.1731723172262226,0.17595053315368833,0.17358610364113836,0.0,0.13069322362457092,0.1739284076759372
